track_name,artist_name,album_name,duration_ms,popularity
Shape of You,Justin Bieber,When We All Fall Asleep,247178,11
Believer,Dua Lipa,Midnights,196175,94
Levitating,Dua Lipa,Divide,206060,4
Blinding Lights,The Weeknd,25,258060,53
Bad Guy,Rihanna,Midnights,221103,36
Someone Like You,Justin Bieber,25,201200,53
Perfect,Imagine Dragons,25,286273,65
Hello,Dua Lipa,After Hours,249527,14
Stay,Imagine Dragons,When We All Fall Asleep,191526,26
Senorita,The Weeknd,Scorpion,262143,80
Shape of You,Rihanna,Anti,257298,91
Believer,The Weeknd,When We All Fall Asleep,192150,7
Levitating,Billie Eilish,Anti,162253,45
Blinding Lights,Imagine Dragons,25,260780,59
Bad Guy,Dua Lipa,After Hours,314845,41
Someone Like You,Taylor Swift,Divide,278849,64
Perfect,Dua Lipa,Justice,140311,85
Hello,Billie Eilish,When We All Fall Asleep,195418,2
Stay,The Weeknd,Justice,270578,13
Senorita,Justin Bieber,After Hours,168896,37
Shape of You,Rihanna,25,208346,17
Believer,Taylor Swift,25,244706,61
Levitating,Rihanna,Anti,154299,58
Blinding Lights,Taylor Swift,Scorpion,273413,70
Bad Guy,Adele,Evolve,133544,52
Someone Like You,Adele,Scorpion,272502,32
Perfect,Justin Bieber,Anti,152624,12
Hello,Drake,25,190466,56
Stay,Dua Lipa,Scorpion,310975,14
Senorita,Drake,Divide,178961,65
Shape of You,The Weeknd,Anti,202344,7
Believer,Imagine Dragons,Divide,148941,35
Levitating,Adele,Scorpion,140985,33
Blinding Lights,Drake,Evolve,275862,91
Bad Guy,Drake,Justice,149084,12
Someone Like You,Justin Bieber,Justice,123794,74
Perfect,Billie Eilish,Evolve,268131,27
Hello,Taylor Swift,Evolve,128343,94
Stay,The Weeknd,Evolve,148816,36
Senorita,Justin Bieber,25,316560,4
Shape of You,Ed Sheeran,Divide,241437,19
Believer,Justin Bieber,Midnights,241349,25
Levitating,Adele,Midnights,226998,76
Blinding Lights,Taylor Swift,Future Nostalgia,224954,10
Bad Guy,Rihanna,Anti,226040,66
Someone Like You,The Weeknd,When We All Fall Asleep,215607,19
Perfect,Justin Bieber,When We All Fall Asleep,209618,68
Hello,Rihanna,Scorpion,151442,39
Stay,Billie Eilish,When We All Fall Asleep,301982,11
Senorita,Drake,Midnights,281832,76
Shape of You,Ed Sheeran,Divide,170072,37
Believer,Drake,Evolve,269188,81
Levitating,Imagine Dragons,Divide,199548,40
Blinding Lights,The Weeknd,Divide,306399,64
Bad Guy,The Weeknd,After Hours,293957,38
Someone Like You,The Weeknd,After Hours,231266,69
Perfect,Justin Bieber,Divide,252201,8
Hello,Drake,Future Nostalgia,204816,51
Stay,Imagine Dragons,When We All Fall Asleep,294205,36
Senorita,Imagine Dragons,When We All Fall Asleep,164965,16
Shape of You,Dua Lipa,Future Nostalgia,294475,100
Believer,Billie Eilish,When We All Fall Asleep,285753,98
Levitating,Ed Sheeran,Justice,302797,4
Blinding Lights,Adele,Anti,243307,69
Bad Guy,Rihanna,Anti,272108,21
Someone Like You,Rihanna,When We All Fall Asleep,146717,29
Perfect,Dua Lipa,After Hours,218569,87
Hello,Ed Sheeran,Justice,250822,10
Stay,Taylor Swift,Justice,158384,38
Senorita,Justin Bieber,Scorpion,268830,59
Shape of You,Adele,Evolve,145699,6
Believer,Adele,Justice,180893,28
Levitating,Ed Sheeran,When We All Fall Asleep,222101,4
Blinding Lights,Taylor Swift,Evolve,249163,3
Bad Guy,Billie Eilish,Future Nostalgia,295615,58
Someone Like You,Taylor Swift,25,252722,53
Perfect,Taylor Swift,Evolve,243649,22
Hello,Dua Lipa,Midnights,149836,49
Stay,Ed Sheeran,Anti,161280,92
Senorita,Billie Eilish,After Hours,265184,83
Shape of You,Justin Bieber,Divide,152726,23
Believer,Drake,After Hours,182824,2
Levitating,Billie Eilish,Midnights,255227,16
Blinding Lights,Billie Eilish,Justice,249262,7
Bad Guy,Justin Bieber,Justice,210659,45
Someone Like You,Taylor Swift,After Hours,129889,8
Perfect,Billie Eilish,Justice,201807,70
Hello,Rihanna,Anti,307453,44
Stay,Dua Lipa,When We All Fall Asleep,288278,10
Senorita,Justin Bieber,Evolve,249386,11
Shape of You,Justin Bieber,When We All Fall Asleep,143639,75
Believer,Taylor Swift,25,146328,28
Levitating,Billie Eilish,Evolve,165373,56
Blinding Lights,Justin Bieber,25,131656,12
Bad Guy,The Weeknd,25,283883,80
Someone Like You,Imagine Dragons,Scorpion,188043,2
Perfect,Taylor Swift,When We All Fall Asleep,269806,95
Hello,Taylor Swift,Anti,209871,11
Stay,Drake,25,302319,51
Senorita,Dua Lipa,Evolve,120513,95
Shape of You,Billie Eilish,25,253475,64
Believer,Taylor Swift,Evolve,132680,78
Levitating,Drake,When We All Fall Asleep,148077,19
Blinding Lights,Billie Eilish,When We All Fall Asleep,318031,61
Bad Guy,Rihanna,Divide,244639,53
Someone Like You,Billie Eilish,When We All Fall Asleep,205549,5
Perfect,Billie Eilish,Anti,199870,16
Hello,Drake,Scorpion,306114,16
Stay,Drake,When We All Fall Asleep,178542,97
Senorita,Adele,25,208914,86
Shape of You,The Weeknd,Midnights,194011,28
Believer,The Weeknd,Scorpion,185657,24
Levitating,Imagine Dragons,25,235746,58
Blinding Lights,Dua Lipa,After Hours,309422,41
Bad Guy,The Weeknd,Evolve,281943,62
Someone Like You,Adele,After Hours,211869,37
Perfect,Adele,Anti,273873,77
Hello,Dua Lipa,Evolve,143717,31
Stay,Justin Bieber,25,139489,21
Senorita,Ed Sheeran,Future Nostalgia,162240,8
Shape of You,Imagine Dragons,25,285696,68
Believer,Dua Lipa,Midnights,297810,58
Levitating,Rihanna,Scorpion,200403,41
Blinding Lights,Taylor Swift,25,263675,34
Bad Guy,Rihanna,Evolve,191766,23
Someone Like You,Taylor Swift,Divide,297511,11
Perfect,Taylor Swift,Scorpion,202254,69
Hello,Dua Lipa,Midnights,226220,9
Stay,Adele,Midnights,202277,77
Senorita,Drake,25,300916,27
Shape of You,Dua Lipa,When We All Fall Asleep,188616,72
Believer,Drake,25,249365,84
Levitating,Adele,When We All Fall Asleep,247014,96
Blinding Lights,Rihanna,25,264951,96
Bad Guy,Imagine Dragons,Justice,319862,27
Someone Like You,Drake,When We All Fall Asleep,222737,98
Perfect,Drake,Divide,152433,45
Hello,The Weeknd,When We All Fall Asleep,255116,39
Stay,Dua Lipa,Midnights,273470,34
Senorita,Adele,Justice,193826,24
Shape of You,Justin Bieber,Justice,146745,14
Believer,Drake,When We All Fall Asleep,305180,72
Levitating,Justin Bieber,Midnights,209037,74
Blinding Lights,Ed Sheeran,Anti,129594,36
Bad Guy,Rihanna,Evolve,214621,63
Someone Like You,Rihanna,Justice,136790,60
Perfect,Adele,Future Nostalgia,237889,45
Hello,Dua Lipa,After Hours,249274,16
Stay,Imagine Dragons,Justice,286827,13
Senorita,Billie Eilish,Anti,163517,30
Shape of You,Rihanna,Anti,154386,24
Believer,Dua Lipa,Justice,132827,29
Levitating,Ed Sheeran,Scorpion,204987,98
Blinding Lights,Imagine Dragons,Scorpion,168881,83
Bad Guy,Adele,Evolve,197336,73
Someone Like You,The Weeknd,25,205392,21
Perfect,Drake,Scorpion,209312,54
Hello,Drake,Divide,285200,44
Stay,Ed Sheeran,Anti,296304,10
Senorita,Taylor Swift,Justice,308941,98
Shape of You,Drake,Scorpion,220517,94
Believer,Taylor Swift,Midnights,319025,64
Levitating,Billie Eilish,After Hours,269635,39
Blinding Lights,Justin Bieber,Evolve,131878,10
Bad Guy,Drake,Justice,134853,46
Someone Like You,Dua Lipa,Midnights,292333,91
Perfect,Adele,Future Nostalgia,229629,59
Hello,Dua Lipa,Justice,282212,77
Stay,Adele,When We All Fall Asleep,292849,75
Senorita,Drake,Midnights,158406,86
Shape of You,Drake,Divide,307171,68
Believer,Dua Lipa,Scorpion,261969,96
Levitating,Drake,Scorpion,226990,90
Blinding Lights,Justin Bieber,When We All Fall Asleep,281329,25
Bad Guy,Justin Bieber,Evolve,123642,61
Someone Like You,The Weeknd,Divide,138627,59
Perfect,Ed Sheeran,Scorpion,239989,19
Hello,Drake,Scorpion,284054,30
